number,value,datetime_start,datetime_complete,duration,params_d_period,params_ema_period,params_k_period,params_left_bars,params_max_separation,params_min_close_ratio,params_min_separation,params_overbought,params_oversold,params_right_bars,params_rr_target,user_attrs_avg_profit_factor,user_attrs_avg_quarter_return,user_attrs_full_total_trades,user_attrs_max_drawdown_pct,user_attrs_max_quarter_drawdown_worst,user_attrs_min_profit_factor,user_attrs_min_trades_per_period,user_attrs_positive_ratio,user_attrs_profit_factor,user_attrs_q_2024-Q1_drawdown,user_attrs_q_2024-Q1_pf,user_attrs_q_2024-Q1_return,user_attrs_q_2024-Q1_trades,user_attrs_q_2024-Q2_drawdown,user_attrs_q_2024-Q2_pf,user_attrs_q_2024-Q2_return,user_attrs_q_2024-Q2_trades,user_attrs_q_2024-Q3_drawdown,user_attrs_q_2024-Q3_pf,user_attrs_q_2024-Q3_return,user_attrs_q_2024-Q3_trades,user_attrs_q_2024-Q4_drawdown,user_attrs_q_2024-Q4_pf,user_attrs_q_2024-Q4_return,user_attrs_q_2024-Q4_trades,user_attrs_q_2025-Q1_drawdown,user_attrs_q_2025-Q1_pf,user_attrs_q_2025-Q1_return,user_attrs_q_2025-Q1_trades,user_attrs_q_2025-Q2_drawdown,user_attrs_q_2025-Q2_pf,user_attrs_q_2025-Q2_return,user_attrs_q_2025-Q2_trades,user_attrs_total_return_pct,user_attrs_total_trades,user_attrs_win_rate,state
287,-9999.0,2026-04-28 13:38:47.218019,2026-04-28 13:38:54.863499,0 days 00:00:07.645480,3,54,11,6,57,0.85,9,85,10,3,2.72,1.3199406879750297,0.1802946906491761,111,-4.235261089015281,-3.297261562527877,0.11096366230716853,14,0.5,1.069120723744718,-3.297261562527877,0.11096366230716853,-3.233665199999969,21,-0.5701142522616084,0.9445427946332214,-0.06522557677774987,14,-0.9716234690394265,1.1760485182949771,0.31668563370175207,21,-1.0416075144185406,3.369864485023238,3.693720867043293,17,-2.9119168707074388,0.9005535926655861,-0.39984005840959513,23,-1.9394930309511405,1.4176710749259862,0.7700924783373253,15,0.9620720000000915,111,0.36936936936936937,COMPLETE
288,-9999.0,2026-04-28 13:38:54.868951,2026-04-28 13:39:02.621351,0 days 00:00:07.752400,2,42,13,5,33,0.8,10,80,14,5,2.3200000000000003,1.848748164890301,0.9801604456467014,119,-3.619285105045547,-3.5020218413541646,0.264101294202054,16,0.8333333333333334,1.4571904036916687,-2.044575350890181,2.573150645299836,3.4800452000000037,22,-0.7351567792253522,1.4967922811261638,0.8493521608937238,19,-0.5454485717374262,3.3148233668269835,1.540850228826418,16,-0.7038356284663644,1.6553936983146431,1.181684439286368,18,-3.5020218413541646,0.264101294202054,-2.8409603665112027,18,-1.0468613992974178,1.788227703572125,1.669991011384897,26,5.912793199999999,119,0.4957983193277311,COMPLETE
289,-9999.0,2026-04-28 13:39:02.626946,2026-04-28 13:39:10.229708,0 days 00:00:07.602762,3,37,12,6,31,0.8,8,85,10,5,2.66,1.8318202599672222,0.5831503097898483,75,-2.286608661613454,-1.9412034557162343,0.14354212632286703,9,0.8333333333333334,1.4089994928061624,-1.1300568971412992,1.0538114089417479,0.0842762000000441,13,-0.9301063972276171,1.7457175163342622,1.2190634196743044,15,-0.9403401537624824,1.77944477200024,0.6133342701800659,9,-0.5331900511802907,5.0,2.8953052659591805,11,-1.9412034557162343,0.14354212632286703,-1.747005887718034,10,-1.4502074864270942,1.268405736204215,0.4339285906435286,17,3.4916982000000374,75,0.4533333333333333,COMPLETE
290,-9999.0,2026-04-28 13:39:10.234750,2026-04-28 13:39:17.865257,0 days 00:00:07.630507,3,35,10,7,53,0.9,13,83,12,4,2.54,2.643537458769601,1.1547098904135373,50,-1.5490810318951405,-1.1397383786377877,0.5120522880678046,5,0.8333333333333334,2.5899111912543455,-0.30454303630645535,1.8889089526077227,0.26877940000000766,5,-0.7247328336348833,5.0,4.3665109181532324,12,-0.5898194071223625,3.5616041467170563,1.1758990579862072,10,-0.8666240392802218,3.0868644054678116,1.2732175473993745,6,-1.1397383786377877,0.5120522880678046,-0.7341903798594229,10,-0.5914225223700763,1.8117949597572085,0.5780427988018255,7,7.053640999999944,50,0.56,COMPLETE
291,-9999.0,2026-04-28 13:39:17.870468,2026-04-28 13:39:25.556118,0 days 00:00:07.685650,2,60,12,6,60,0.85,11,79,12,3,2.2600000000000002,1.2069352754803278,0.26192826479264353,113,-3.152640682297708,-2.1556409292436225,0.5452717816844997,10,0.3333333333333333,1.0899455524975128,-1.3067186462137397,1.506713096839272,1.205571800000027,19,-1.436251170328525,0.8682422117777765,-0.4545510605968417,23,-1.1350463443930778,0.5452717816844997,-0.5476343623935231,10,-1.206016345492341,2.5561613307452524,2.528467633008913,20,-1.8850002031201851,0.7867238577428892,-1.0948633736625246,24,-2.1556409292436225,0.9784993740922763,-0.0654210476001893,17,1.5360002000000872,113,0.415929203539823,COMPLETE
292,-9999.0,2026-04-28 13:39:25.561718,2026-04-28 13:39:33.211760,0 days 00:00:07.650042,2,48,10,5,49,0.95,8,81,14,4,2.72,2.3700060504618006,0.9846115934463792,68,-1.813805306035949,-1.635552012133841,1.1184913233572416,8,1.0,1.8663992327904786,-1.2886891250342312,1.7867622300614245,0.8430472000000355,12,-0.4630338653523673,2.122759879628116,1.2320258406472107,14,-0.8334298704846749,1.2214097475521113,0.25627978854689815,12,-0.6856468180190926,2.9706131221719096,1.3616583350825717,10,-1.635552012133841,1.1184913233572416,0.2868420932290672,12,-0.40149476190802813,5.0,1.9278163031724915,8,6.04394040000007,68,0.5147058823529411,COMPLETE
293,-9999.0,2026-04-28 13:39:33.216912,2026-04-28 13:39:40.830029,0 days 00:00:07.613117,2,53,11,5,39,0.9,16,80,14,4,2.2600000000000002,1.5008805356834412,0.748207628801086,65,-2.061852611406854,-2.061852611406854,0.0,5,0.5,1.547887245598712,-2.061852611406854,4.850958494533573,4.688272400000026,15,-0.6026156626588589,0.7391836377173662,-0.22754105549643855,10,-0.9248212898652106,0.0,-0.7388123792391732,5,-1.193318782583471,1.2599224265340165,0.3341665074113376,10,-0.7494279306722494,1.4051483295723268,0.8491595545186303,13,-1.5669873387777378,0.7500703257433647,-0.41599925438786656,12,4.47175160000004,65,0.4,COMPLETE
294,-9999.0,2026-04-28 13:39:40.835247,2026-04-28 13:39:48.418728,0 days 00:00:07.583481,3,31,10,7,38,0.8,15,81,15,4,2.58,2.4182514278064584,1.6695298325613157,80,-1.2873161658909287,-1.2873161658909287,1.2005641777634615,9,1.0,2.314213907387959,-0.33513644687820565,1.6852433387711223,0.4032519999999984,9,-0.7237639639113405,3.713390134529116,4.519918338899975,21,-0.9729021017161881,2.625766319585061,1.9505682776454591,15,-0.7816174543380966,3.8982325942663727,2.3018264943697853,10,-1.2873161658909287,1.2005641777634615,0.432375255489581,16,-0.9476257290933793,1.386312001923618,0.4092386289630934,9,10.374128599999977,80,0.525,COMPLETE
295,-9999.0,2026-04-28 13:39:48.423800,2026-04-28 13:39:55.995762,0 days 00:00:07.571962,2,38,14,6,40,0.85,17,86,11,5,2.8,1.6430002624105906,0.15201383275607974,46,-1.73280637104349,-1.5454131188713294,0.22195812497015174,5,0.5,1.1744794345845333,-0.30712916319892414,3.6126707997903678,0.8470540000000248,7,-0.9177988268391687,1.6410740366250889,0.8487407078842324,11,-0.6660770905481301,0.34713359538516186,-0.37724556833061973,5,-0.5475268904081987,3.107352046350377,0.7861857414470652,5,-1.5454131188713294,0.22195812497015174,-1.1168156111911687,8,-0.7103688251330423,0.9278129713423952,-0.07583627327305553,10,0.8988500000000288,46,0.391304347826087,COMPLETE
296,-9999.0,2026-04-28 13:39:56.000958,2026-04-28 13:40:03.715271,0 days 00:00:07.714313,3,36,13,7,50,0.8,8,83,12,3,2.8,1.7593375963101543,1.3378597399198353,115,-1.7900308501980482,-1.7900308501980482,0.979437293102812,15,0.8333333333333334,1.613253415035527,-1.2003974155789099,1.1085222509282076,0.25371200000003924,18,-1.7900308501980482,1.7395274115752746,1.9376818685776342,25,-0.6619530671348881,3.3981265526353006,2.966040554693228,23,-1.192808054124845,2.2771345441721076,2.753132180454676,19,-1.1866893781683066,1.0532775254472224,0.1520986733206442,15,-1.3761173003975642,0.979437293102812,-0.03550683752721051,15,8.250552000000111,115,0.41739130434782606,COMPLETE
