ema_period,lookback_bars,min_close_ratio,left_bars,right_bars,rr_target,total_periods,positive_periods,positive_ratio,total_return_sum,total_trades_sum,avg_quarter_return,median_quarter_return,min_quarter_return,max_quarter_drawdown_worst,avg_profit_factor,median_profit_factor,min_profit_factor,min_trades_per_period,avg_trades_per_period,long_trades_total,short_trades_total,plateau_score
60,24,0.75,4,3,2.0,8,8,1.0,29.127940000000343,335,3.640992500000043,4.006955000000012,0.9253399999999967,-2.0133609663773133,1.885430198094944,1.9492469274958482,1.2580121681230796,35,41.875,162,173,0.5437549667977851
55,20,0.85,4,3,2.2,8,8,1.0,22.389238000000145,206,2.798654750000018,2.665230999999979,2.2178080000000655,-1.6856801295075645,2.2639480464753037,2.2617399015945807,1.696200075967116,17,25.75,100,106,0.5415766472149126
50,24,0.8,4,3,2.4,8,8,1.0,23.505456000000137,228,2.938182000000017,2.8641380000000494,1.3258280000000289,-1.760282151658481,2.129552490628369,2.0981400970434096,1.5150566791238922,19,28.5,113,115,0.5414239409380822
50,20,0.75,3,3,2.2,8,8,1.0,28.508224000000126,304,3.563528000000016,3.347285000000033,0.2839759999999858,-1.969328507318249,2.0289323840383546,1.9104216470327762,1.0669833706805014,28,38.0,157,147,0.541185151492547
55,28,0.75,3,3,2.2,8,8,1.0,28.06304000000035,333,3.5078800000000436,3.650238000000039,1.3126740000000137,-1.6388442151476679,1.8111967837986978,1.8385389445451916,1.335062409066546,29,41.625,164,169,0.5410045144768597
55,24,0.75,3,3,2.0,8,8,1.0,27.84659000000029,325,3.4808237500000363,4.036880000000076,1.040069999999993,-2.0295241865901743,1.901093641828622,2.0395178948397374,1.2654817787102937,32,40.625,164,161,0.539951044806893
55,28,0.75,4,3,2.4,8,8,1.0,29.77333400000026,349,3.7216667500000327,3.585654000000005,1.0346940000000027,-2.1921398854411045,1.7881039065206443,1.792189927091584,1.2201603070814706,33,43.625,172,177,0.5389009106820865
60,24,0.75,3,3,2.2,8,8,1.0,28.931620000000425,322,3.616452500000053,4.245582000000048,0.545678000000005,-1.8408609000956297,1.872709888449946,1.9953144206127347,1.1462300757843724,33,40.25,156,166,0.5387739679533956
60,24,0.75,4,3,2.4,8,8,1.0,29.406802000000276,335,3.6758502500000345,4.159923000000044,1.2890260000000042,-2.7329322359011163,1.8062068050676163,1.8656429063166073,1.2780980119305723,35,41.875,162,173,0.5380451070510992
50,20,0.75,4,3,2.4,8,8,1.0,28.13879600000013,320,3.5173495000000163,3.894502000000044,0.9408520000000031,-1.9081082198539725,1.840147682928028,1.947848065147444,1.233871745539323,30,40.0,163,157,0.5373421978687051
50,28,0.8,4,3,2.0,8,8,1.0,23.690430000000017,252,2.961303750000002,2.8168750000000187,0.6817099999999909,-1.692213668693664,2.0941406382347454,2.0000212366481027,1.2806811678339127,21,31.5,127,125,0.5363123227816257
50,20,0.8,4,3,2.0,8,8,1.0,24.439400000000088,259,3.054925000000011,3.1041600000000447,0.6622200000000023,-2.1064610195790956,2.0954821458949286,2.077949201493627,1.2446233977318801,23,32.375,124,135,0.5356744881061265
60,20,0.75,4,3,2.2,8,8,1.0,29.583112000000366,319,3.6978890000000457,3.8519470000001,0.11493000000000198,-2.6073061087655502,1.911674272316551,1.93332655280905,1.0257806191117091,31,39.875,157,162,0.5345150778364696
50,28,0.75,4,4,2.2,8,8,1.0,25.08470200000008,286,3.13558775000001,2.8738510000000717,1.2215900000000168,-1.7985548239053122,1.8718911439651444,1.8564209263982527,1.3795808915376748,27,35.75,158,128,0.533852651240238
50,20,0.8,3,3,2.2,8,8,1.0,24.439182000000102,245,3.0548977500000127,3.029648000000096,0.38629399999998704,-2.0458433068799824,2.123747389570854,1.9997487350878806,1.121974354359474,21,30.625,119,126,0.5324840596185222
55,20,0.8,3,3,2.2,8,8,1.0,22.92153400000032,255,2.86519175000004,2.737650000000047,1.3247879999999546,-2.0458433068799824,1.951801013349875,1.8812577735045743,1.4511022276098196,21,31.875,129,126,0.5313606757374879
60,24,0.75,3,3,2.4,8,8,1.0,27.956720000000313,322,3.494590000000039,4.252638000000042,0.9636159999999894,-2.864684334072483,1.8060012462588975,1.9339204768506235,1.2484981068573822,33,40.25,156,166,0.5307542649168789
50,20,0.75,3,3,2.4,8,8,1.0,26.68443600000017,303,3.335554500000021,3.8140140000000655,0.724291999999993,-1.9081082198539725,1.8653247953518923,1.9159194520469338,1.1708437315721099,28,37.875,156,147,0.5306260829312098
55,28,0.75,3,3,2.0,8,8,1.0,26.04083000000026,333,3.2551037500000324,3.4833750000000108,1.076659999999996,-1.6847373296024548,1.7978513652564705,1.800479304843332,1.2828581637049505,29,41.625,164,169,0.5304363206630102
55,28,0.75,3,3,2.4,8,8,1.0,28.025990000000302,333,3.5032487500000378,3.4684469999999967,0.8974940000000098,-2.3249580083694243,1.785224941853774,1.859795359841675,1.190967140665528,29,41.625,164,169,0.5303726051774639
60,28,0.75,4,4,2.4,8,8,1.0,26.48274000000006,281,3.3103425000000075,2.9484440000000056,0.048872000000055316,-2.103542246450033,2.020717439421018,1.8043019897040722,1.0135973112535763,29,35.125,147,134,0.530372328188944
55,20,0.8,4,3,2.0,8,8,1.0,22.776190000000216,267,2.847023750000027,3.013025000000036,1.184119999999944,-2.1064610195790956,1.9739420797827933,1.9186507798578496,1.4190922475791163,23,33.375,134,133,0.5303392012944097
50,20,0.75,3,3,2.0,8,8,1.0,25.856540000000106,304,3.232067500000013,2.9535700000000165,0.49333999999996436,-2.078646969658827,1.9684701199665844,1.8202717574633693,1.1238632768758665,28,38.0,157,147,0.5299468272250701
50,20,0.8,4,4,2.2,8,8,1.0,20.977485999999935,208,2.622185749999992,2.2545910000000613,0.6733219999999873,-1.8544653750337825,2.2161860454126874,1.8993339183805213,1.2368641936221438,21,26.0,112,96,0.529677115640351
50,20,0.8,4,3,2.4,8,8,1.0,23.673684000000183,258,2.959210500000023,3.1326610000000477,1.0815280000000316,-1.985225594180898,1.9089292387560004,1.9668446833025564,1.3837328451199864,23,32.25,123,135,0.5296459627716956
50,20,0.8,4,4,2.0,8,8,1.0,19.910099999999954,208,2.488762499999994,2.351555000000072,0.5952800000000202,-1.4942439652551571,2.2443641235502927,2.002516133042757,1.2532847709170172,21,26.0,112,96,0.5295412521879194
50,24,0.8,3,3,2.2,8,8,1.0,23.578698000000095,215,2.947337250000012,3.117558000000087,0.6305939999999843,-1.5542166891593858,2.2999562476087507,2.386072753092831,1.2157566094480803,17,26.875,108,107,0.5292771108125642
50,28,0.75,4,4,2.4,8,8,1.0,23.54049200000008,286,2.94256150000001,2.738906000000041,1.6579400000000355,-1.7909464022344608,1.7867339415801764,1.7819163069122435,1.4951556954855925,27,35.75,158,128,0.5284650378872605
55,24,0.8,3,3,2.0,8,8,1.0,20.518610000000148,224,2.5648262500000185,2.4556050000000385,1.5998599999999863,-1.7200533290378028,2.1521310611822084,1.993941244749035,1.5536039309318652,18,28.0,115,109,0.5280952311511966
55,20,0.75,4,3,2.2,8,8,1.0,27.59977800000022,321,3.4499722500000276,3.940439000000051,0.3170719999999738,-2.3041201997363365,1.8638711129551604,1.9342760047551553,1.0696821720077498,31,40.125,160,161,0.5279594090293872
50,28,0.75,4,4,2.0,8,8,1.0,24.40684000000004,286,3.050855000000005,2.811964999999994,0.7852400000000204,-1.80622816661856,1.9114069205991426,1.9929780233609153,1.243995202376449,27,35.75,158,128,0.5278246632919225
60,24,0.75,3,3,2.0,8,8,1.0,26.54980000000031,322,3.318725000000039,3.8802550000000213,0.5033999999999761,-1.9639053266950004,1.8428655735944763,1.93091552891464,1.1403628130559098,33,40.25,156,166,0.5275000145684865
55,24,0.85,4,3,2.2,8,8,1.0,20.48100000000006,180,2.5601250000000073,2.5951129999999822,1.4307839999999628,-1.9388655163197501,2.3381406325979226,2.1629367337116205,1.702891082104762,15,22.5,87,93,0.5271320973324881
55,24,0.8,4,3,2.4,8,8,1.0,21.973618000000126,235,2.7467022500000158,2.5949840000000224,0.8510919999999755,-1.824034205245915,2.076686916920255,1.9086116310077543,1.2467863252819844,20,29.375,120,115,0.5269866953310631
60,28,0.8,4,3,2.2,8,8,1.0,23.126560000000353,248,2.890820000000044,2.4766650000000556,1.5071600000000407,-2.7410896610348408,1.8998533689497243,1.7926810883654898,1.4737926320067964,20,31.0,124,124,0.5269635254225853
60,24,0.8,4,3,2.2,8,8,1.0,24.04207000000045,233,3.0052587500000563,2.8583330000000684,1.175646000000019,-2.116594217580301,2.0983274731749253,2.0128684124235168,1.4338744805974848,17,29.125,115,118,0.5268461442947459
60,20,0.75,4,3,2.4,8,8,1.0,27.547804000000344,318,3.443475500000043,3.683102000000049,0.5615600000000054,-2.4682944271690217,1.7949142285326818,1.8955914641116758,1.125966801256161,31,39.75,156,162,0.5257471763410367
50,28,0.8,3,3,2.2,8,8,1.0,23.44304200000007,238,2.9303802500000087,2.674239000000078,0.3818999999999795,-1.656435807998684,2.107637113411852,2.091556792652072,1.132205713336192,19,29.75,121,117,0.5252993126640472
50,28,0.8,4,3,2.4,8,8,1.0,22.41294000000005,252,2.801617500000006,3.12335900000007,1.0532499999999834,-1.734831144895615,1.8863090678430223,1.9705977290717698,1.3738986664588286,21,31.5,127,125,0.5246457693260264
60,20,0.75,3,3,2.2,8,8,1.0,27.118476000000392,305,3.389809500000049,3.499069000000099,0.05015200000002551,-2.475991730924429,1.881666828622454,1.8875468066153425,1.011593184450265,29,38.125,151,154,0.5238613951545126
55,24,0.8,4,4,2.2,8,8,1.0,21.29225600000013,190,2.661532000000016,2.3745980000000277,0.0766359999999855,-1.2399764283690486,2.477264019954062,2.3271380688999157,1.0335416666666695,17,23.75,110,80,0.5238509455225252
50,24,0.8,3,3,2.4,8,8,1.0,22.531376000000105,215,2.816422000000013,2.9395810000000466,0.9772580000000142,-1.7557607728896922,2.204931805912917,2.121167588173024,1.3118333836401976,17,26.875,108,107,0.5234337817768057
60,20,0.75,3,3,2.4,8,8,1.0,26.58871400000027,304,3.3235892500000337,3.64120400000002,0.47707399999998845,-2.726399791637566,1.824755243038982,1.924901787918107,1.1102808836821096,29,38.0,150,154,0.5217246760410467
60,20,0.75,4,3,2.0,8,8,1.0,26.584160000000367,319,3.323020000000046,3.36967000000008,0.043959999999998445,-2.3725904148338675,1.8536989488805728,1.8377644262656723,1.0101929613845326,31,39.875,157,162,0.520920313825242
