ema_period,lookback_bars,min_close_ratio,left_bars,right_bars,rr_target,total_periods,positive_periods,positive_ratio,total_return_sum,total_trades_sum,avg_quarter_return,median_quarter_return,min_quarter_return,max_quarter_drawdown_worst,avg_profit_factor,median_profit_factor,min_profit_factor,min_trades_per_period,avg_trades_per_period,long_trades_total,short_trades_total,plateau_score
50,20,0.75,3,3,2.0,8,8,1.0,31.9365400000001,304,3.9920675000000125,3.6109000000000724,1.2733399999999673,-1.9152358042829005,2.2993409605713575,2.0800917503857708,1.3573846317928329,28,38.0,157,147,0.5794482792788671
55,24,0.85,4,3,2.2,8,8,1.0,24.081000000000063,180,3.010125000000008,3.004055999999966,2.0307839999999633,-1.9026649029328446,2.739168955837416,2.4707483935247043,2.1567661785061225,15,22.5,87,93,0.5790195204174516
55,28,0.75,3,3,2.4,8,8,1.0,34.68599000000032,333,4.33574875000004,4.488447000000006,1.637494000000017,-2.0306319712119736,2.072913238586127,2.2154547936289646,1.382616193077602,29,41.625,164,169,0.5788696122963517
60,24,0.75,3,3,2.4,8,8,1.0,34.396720000000336,322,4.299590000000042,5.075652000000119,1.7036159999999745,-2.5522660405737465,2.095216259371641,2.2002936345075357,1.4440710295007286,33,40.25,156,166,0.5787500239457437
50,20,0.8,3,3,2.2,8,8,1.0,29.339182000000097,245,3.667397750000012,3.569648000000092,1.0062939999999854,-1.9108463933053748,2.4788368275379407,2.266421871466374,1.3584932009504742,21,30.625,119,126,0.5787492699483896
60,24,0.75,3,3,2.0,8,8,1.0,32.989800000000315,322,4.123725000000039,4.780255000000022,1.2433999999999834,-1.7350643588795238,2.155852856395553,2.169625297954814,1.3902184897157215,33,40.25,156,166,0.5784378106140101
60,28,0.75,4,4,2.0,8,8,1.0,32.24806000000015,281,4.031007500000019,4.266220000000098,0.03502000000004113,-1.4234141671103357,2.4811354390734124,2.3718796538954985,1.010827891560315,29,35.125,147,134,0.5783030417805322
55,20,0.75,4,3,2.2,8,8,1.0,34.01977800000017,321,4.252472250000022,4.620439000000043,1.1570719999999701,-1.8166093808834975,2.1639486384426623,2.1768601903896454,1.284274714637389,31,40.125,160,161,0.5780595411032118
50,20,0.75,3,3,2.4,8,8,1.0,32.74443600000014,303,4.093054500000018,4.524014000000065,1.504291999999996,-1.7966946110775692,2.156270986602222,2.1665844034065045,1.3980134938483804,28,37.875,156,147,0.577542251028659
50,20,0.8,4,3,2.4,8,8,1.0,28.833684000000147,258,3.6042105000000184,3.8226610000000494,1.681528000000032,-1.8502317091278617,2.2186647641726327,2.2897458606697185,1.6784622585174414,23,32.25,123,135,0.5769468850036905
50,28,0.75,4,4,2.0,8,8,1.0,30.12684000000008,286,3.76585500000001,3.5319650000000036,1.4452400000000143,-1.7245944382021896,2.245244711935723,2.36495211898108,1.495240314433955,27,35.75,158,128,0.5764245259831337
60,28,0.75,4,4,2.4,8,8,1.0,32.10274000000002,281,4.012842500000002,3.668444000000004,0.6888720000000514,-2.0377355061389815,2.3433194994668733,2.068716468775853,1.212993469872385,29,35.125,147,134,0.5758823112375443
50,24,0.8,3,3,2.2,8,8,1.0,27.87869800000007,215,3.484837250000009,3.627558000000086,1.2305939999999849,-1.3319985376546928,2.677378538867594,2.6839071427769854,1.4764739362917212,17,26.875,108,107,0.5758130092067754
55,24,0.8,3,3,2.0,8,8,1.0,24.99861000000014,224,3.1248262500000177,2.8656050000000377,2.1398599999999934,-1.6550854363127743,2.540754329475245,2.2356666552002533,1.8262326730761818,18,28.0,115,109,0.5755563837152462
50,20,0.8,4,4,2.2,8,8,1.0,25.137485999999967,208,3.142185749999996,2.7143580000000056,1.25332199999999,-1.4019791621256743,2.5524300925063996,2.2160107413530175,1.5007979541685739,21,26.0,112,96,0.5749090994814345
60,20,0.75,4,3,2.4,8,8,1.0,33.907804000000354,318,4.238475500000044,4.58310200000005,1.3215600000000105,-2.0585130350163303,2.071833561535741,2.2251951826526697,1.327280832095087,31,39.75,156,162,0.5735446111855101
50,28,0.75,4,4,2.4,8,8,1.0,29.26049200000005,286,3.657561500000006,3.4746620000000172,2.3179400000000516,-1.7100402581206067,2.083621651938291,2.0762199994141737,1.6962072039337197,27,35.75,158,128,0.5732060144636605
60,20,0.75,3,3,2.2,8,8,1.0,33.218476000000365,305,4.152309500000046,4.209069000000099,0.7701520000000128,-1.9454273129021433,2.1833158066287863,2.1574102358481193,1.196167590849696,29,38.125,151,154,0.5718546424009178
50,28,0.8,3,3,2.2,8,8,1.0,28.203042000000035,238,3.5253802500000044,3.1924420000000397,1.0218999999999756,-1.5814115501439656,2.4535671742148963,2.3561204688117736,1.4041238907255902,19,29.75,121,117,0.5716976640890487
55,24,0.8,4,4,2.2,8,8,1.0,25.092256000000134,190,3.1365320000000168,2.826185999999997,0.5366359999999792,-0.9755310170300995,2.9361328556237885,2.782206115156731,1.2624393583724622,17,23.75,110,80,0.5715225220309379
60,24,0.8,4,3,2.2,8,8,1.0,28.702070000000425,233,3.587758750000053,3.4883330000000656,1.6956460000000284,-2.0410603618322996,2.4490138013966916,2.3010251935957733,1.6654340500402554,17,29.125,115,118,0.5714955127622849
50,20,0.8,4,4,2.0,8,8,1.0,24.07009999999992,208,3.00876249999999,2.8193400000000035,1.0952800000000096,-1.2790992062432684,2.533724849231069,2.318678529165373,1.519031010690734,21,26.0,112,96,0.5713148618579661
55,24,0.8,4,3,2.4,8,8,1.0,26.673618000000143,235,3.334202250000018,3.164984000000026,1.4110919999999805,-1.7322093194487354,2.429834607077491,2.2379784000771092,1.451015437721732,20,29.375,120,115,0.5708973687655008
