rank,trial_id,score,k_period,d_period,smooth,oversold,overbought,left_bars,right_bars,min_separation,max_separation,ema_period,min_close_ratio,rr_target,total_trades,profit_factor,win_rate,expectancy_R,max_drawdown_pct,total_return,quarterly_positive_ratio,val_total_return,val_profit_factor,nocost_total_return,q_2024-Q1_return,q_2024-Q1_trades,q_2024-Q1_pf,q_2024-Q2_return,q_2024-Q2_trades,q_2024-Q2_pf,q_2024-Q3_return,q_2024-Q3_trades,q_2024-Q3_pf,q_2024-Q4_return,q_2024-Q4_trades,q_2024-Q4_pf,q_2025-Q1_return,q_2025-Q1_trades,q_2025-Q1_pf,q_2025-Q2_return,q_2025-Q2_trades,q_2025-Q2_pf
11,490,0.7321641193002415,21,5,3,17,75,6,5,15,31,82,0.5124336224529857,3.136708485655296,141,3.031013234686496,0.5177304964539007,0.9737687154874315,-1.9195261800521137,34.656823944175756,1.0,1.7861357054629545,1.7625986608414217,37.47682394417575,5.1560001403312405,17,5.0,4.528213619552601,24,2.9332879903090694,2.8686463177390875,22,2.3281676632288004,5.122415133676572,29,2.1260579183062274,10.662875711802155,30,5.0,2.3718315918431987,19,1.9971795717148422
12,394,0.7314485147171781,20,5,3,14,77,6,5,15,32,83,0.618960509011099,3.2607595824423568,114,2.875870465824155,0.5087719298245614,0.9928026806149952,-1.6976354597547114,26.562269519955994,1.0,1.0514964478869349,1.8017938036242265,28.842269519955988,2.953735844540195,16,3.1637663777042127,2.5780209783979657,20,2.0188513539483437,0.6833663346810015,19,1.3298048504232383,4.007879468738018,20,2.054549716887534,10.09346632797512,22,5.0,3.9494778402926256,17,3.4740856648124283
13,444,0.73108242120016,21,5,3,15,78,6,5,15,32,84,0.5308664531689445,3.109240050478859,132,2.9861233836855985,0.5227272727272727,0.9783995186591239,-1.95726726364283,31.33487001206927,1.0,2.128810813506399,2.2626024219367005,33.97487001206927,3.8945908152916875,16,4.656789776148758,3.9697968936450057,25,2.3590634581053447,1.0888924349809592,20,1.5395313273428444,5.743928168094503,25,2.4435797523346334,10.401766729053485,29,5.0,3.0255673701640617,17,2.6515995705221878
14,329,0.7285461476807431,21,5,3,22,81,6,5,15,33,61,0.5750618100137479,3.203718830330509,142,2.8415556681748115,0.5140845070422535,0.9909872269016147,-1.8046339664136368,32.749655120563695,1.0,0.7500791267669449,1.3320756197059238,35.58965512056365,4.832822609941334,20,5.0,4.634479999927188,29,2.362117784149797,3.484011830036815,21,2.788713120353501,3.3838799844817746,26,1.7582093257654396,8.205158657253243,26,3.858704360618352,4.54114479374117,20,3.3254880320603446
15,260,0.7235300626884382,21,4,3,19,80,6,5,15,31,87,0.569630682949972,2.63370476844858,143,3.1373281665604122,0.5734265734265734,0.927953194472435,-1.9537173302188238,34.869718226011415,1.0,1.5512559426170247,1.6893949979854856,37.729718226011414,3.8665052859068183,17,5.0,4.429216991597662,28,2.4636178507079034,3.350782226695004,19,3.2837758425765475,4.171976519667431,30,1.8705986094266627,11.519163535384514,30,5.0,3.562549492758049,19,2.7073362144539495
16,376,0.7194869825060943,19,5,3,20,80,6,5,15,33,87,0.6643546126796476,3.263362646268523,128,2.9924915501422293,0.4921875,0.938593318947385,-1.9525984475387517,32.02499788678808,1.0,0.3846619941294094,1.1689136528077122,34.58499788678813,3.2147418301018416,16,3.5650832064134956,4.32034398857728,29,2.1590759829753705,3.195539191591412,18,2.9872268340207646,2.832390487281744,27,1.581170920451116,11.562071972400467,23,5.0,3.5709596629506235,15,3.5309608479210843
17,338,0.7179298054122432,17,5,3,16,83,6,5,15,50,76,0.5731810050507999,3.326167290173442,176,2.5902058235065293,0.5056818181818182,1.0037617917359192,-2.1181705473098478,35.7278698293418,1.0,2.1800281946484423,1.8003686768565874,39.24786982934174,3.9666344506955165,19,3.548857792304253,2.9977895985062952,35,1.6109165909033856,6.553060129422361,31,3.520875597731956,2.9902518275356504,33,1.574065373874744,12.281963152604725,34,4.905284402278553,2.8667689661036055,24,2.116865625335465
18,326,0.7166555513919387,21,5,3,22,81,6,5,15,31,66,0.5504545328794379,3.009466136001775,135,2.792978302012497,0.5333333333333333,0.9658162271079704,-2.123038640179554,29.481260888236683,1.0,1.2897361755610515,1.738515552402978,32.18126088823672,4.534712265896634,19,5.0,5.578088599394171,29,2.9324776934083796,3.103785794987779,21,2.672427660079264,2.7207076656140528,25,1.5890968381858075,7.531651875739698,23,4.2358091946085,3.0157584436867335,18,2.528630136813063
19,328,0.7162883322179723,18,5,3,19,81,6,5,15,32,89,0.5873641281505734,3.2237999979076863,135,2.962865371907512,0.4962962962962963,0.9330209860851757,-1.960205367159329,33.268487416538115,1.0,0.6327931900021566,1.2818150680060574,35.96848741653811,3.226804588740473,19,3.0746351897570254,4.419933232140805,28,2.253514837448871,2.6033783239733044,17,2.6207115724276484,4.869646871879141,27,2.0215964947101863,11.248276301067307,27,5.0,3.2872742674099786,17,2.991422894236729
20,482,0.7152167895213946,20,5,3,21,79,6,5,15,30,62,0.6122436274482878,3.383835366903522,120,2.844330412121206,0.48333333333333334,0.9471114281817284,-1.8555265898640432,27.973438886549438,1.0,0.2883025412110829,1.1650848557373124,30.373438886549444,2.375148334303412,13,3.583817429945852,5.388530052802598,26,3.0242608375881392,2.0392002711474344,19,2.0119807478102363,3.7262757200087426,24,1.8669799440543224,6.196700214638207,19,3.7238411617226035,5.527365449458177,19,4.319824267709788
