total_periods,positive_periods,positive_ratio,total_return_sum,avg_quarter_return,median_quarter_return,min_quarter_return,total_trades_sum,min_trades_per_period,avg_trades_per_period,avg_profit_factor,median_profit_factor,min_profit_factor,max_quarter_drawdown_worst,long_trades_total,short_trades_total,cost_mode,min_separation,max_separation,is_baseline_current,is_baseline_batch1,is_candidate_tpe,is_candidate_wide_simple,batch2b_score
8,6,0.75,12.665373999999973,1.5831717499999967,1.1174059999999875,-0.8724899999999591,218,21,27.25,1.6876406154015582,1.3924938053138964,0.6979142863078426,-3.014308285059583,125,93,cost,7,45,False,False,False,False,0.3947222132970936
8,6,0.75,12.665373999999973,1.5831717499999967,1.1174059999999875,-0.8724899999999591,218,21,27.25,1.6876406154015582,1.3924938053138964,0.6979142863078426,-3.014308285059583,125,93,cost,7,50,False,False,False,False,0.3947222132970936
8,5,0.625,7.948834000000138,0.9936042500000173,0.26186800000002064,-1.5448879999999776,184,19,23.0,1.5498235326583871,1.0966489582577736,0.449361462487932,-2.7106124359737644,106,78,cost,8,25,False,False,False,False,0.3317207004525683
8,5,0.625,8.447228000000084,1.0559035000000105,0.37231900000000984,-1.3283479999999348,200,19,25.0,1.5253385319578825,1.1280104507412103,0.54008074177176,-3.011848573838374,114,86,cost,8,30,False,False,False,False,0.33448801839957304
8,6,0.75,11.612274000000067,1.4515342500000084,0.9656450000000039,-1.086965999999956,203,20,25.375,1.6515870746186376,1.2908646346594963,0.6236554002119066,-3.011848573838374,115,88,cost,8,35,False,False,False,False,0.3860123543702166
8,6,0.75,11.612274000000067,1.4515342500000084,0.9656450000000039,-1.086965999999956,203,20,25.375,1.6515870746186376,1.2908646346594963,0.6236554002119066,-3.011848573838374,115,88,cost,8,40,False,True,False,False,0.3860123543702166
8,6,0.75,11.612274000000067,1.4515342500000084,0.9656450000000039,-1.086965999999956,203,20,25.375,1.6515870746186376,1.2908646346594963,0.6236554002119066,-3.011848573838374,115,88,cost,8,45,False,False,False,False,0.3860123543702166
8,6,0.75,11.612274000000067,1.4515342500000084,0.9656450000000039,-1.086965999999956,203,20,25.375,1.6515870746186376,1.2908646346594963,0.6236554002119066,-3.011848573838374,115,88,cost,8,50,False,False,False,False,0.3860123543702166
8,6,0.75,7.901490000000155,0.9876862500000194,0.7307290000000632,-1.3540160000000134,168,18,21.0,1.5344626887212869,1.3004196619827364,0.5485851786421434,-2.197545460617437,96,72,cost,9,25,False,False,False,False,0.35730940177866355
8,6,0.75,8.399884000000114,1.0499855000000142,0.6928160000000183,-1.5044460000000148,184,18,23.0,1.525176778493822,1.2436638542071217,0.5466679121567828,-2.3475074293131306,104,80,cost,9,30,False,False,False,False,0.35788758326439724
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,35,False,False,False,True,0.4081719946967166
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,40,False,False,False,False,0.4081719946967166
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,42,False,False,True,False,0.4081719946967166
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,45,False,False,False,False,0.4081719946967166
8,7,0.875,11.564930000000118,1.4456162500000147,0.6928160000000183,-0.579505999999963,187,18,23.375,1.6576225406183385,1.2436638542071217,0.7565878122952462,-2.6682264652021224,105,82,cost,9,50,False,False,False,False,0.4081719946967166
8,5,0.625,4.920724000000188,0.6150905000000235,0.7824370000000247,-1.2426760000000203,144,14,18.0,1.5018728798666334,1.3799263063623193,0.5365017456074528,-2.086551871608737,80,64,cost,10,25,False,False,False,False,0.2995736694595868
8,5,0.625,5.419118000000133,0.6773897500000167,0.6484000000000267,-1.3931060000000106,160,14,20.0,1.529793595891881,1.3538433447403637,0.5656452467807763,-2.2365138403044305,88,72,cost,10,30,False,False,False,False,0.30325461296430345
8,7,0.875,8.584164000000138,1.0730205000000173,0.8072710000000316,-0.51654599999994,163,15,20.375,1.665930552580586,1.4284642250294244,0.7635955899515503,-2.5572328761934218,89,74,cost,10,35,False,False,False,False,0.38324480184612475
8,7,0.875,8.584164000000138,1.0730205000000173,0.8072710000000316,-0.51654599999994,163,15,20.375,1.665930552580586,1.4284642250294244,0.7635955899515503,-2.5572328761934218,89,74,cost,10,40,False,False,False,False,0.38324480184612475
8,7,0.875,8.584164000000138,1.0730205000000173,0.8072710000000316,-0.51654599999994,163,15,20.375,1.665930552580586,1.4284642250294244,0.7635955899515503,-2.5572328761934218,89,74,cost,10,45,False,False,False,False,0.38324480184612475
8,7,0.875,8.584164000000138,1.0730205000000173,0.8072710000000316,-0.51654599999994,163,15,20.375,1.665930552580586,1.4284642250294244,0.7635955899515503,-2.5572328761934218,89,74,cost,10,50,False,False,False,False,0.38324480184612475
8,5,0.625,5.716734000000102,0.7145917500000127,0.6355710000000236,-1.2815560000000281,124,12,15.5,1.7932104201234935,1.4549949428415978,0.4930553797468324,-2.1253109046665677,67,57,cost,11,25,False,False,False,False,0.3051939341727155
8,5,0.625,6.215128000000025,0.7768910000000031,0.4872070000000006,-1.4319860000000184,140,12,17.5,1.7467560941181106,1.4324773265565645,0.4653636645348192,-2.2752728733622614,75,65,cost,11,30,False,False,False,False,0.30288271692048707
8,7,0.875,9.38017400000003,1.1725217500000038,0.7637940000000176,-0.4564279999999532,143,12,17.875,1.8997833416243886,1.5557696324199033,0.7631492369244663,-2.595991909251253,76,67,cost,11,35,False,False,False,False,0.38271082951194196
8,7,0.875,9.38017400000003,1.1725217500000038,0.7637940000000176,-0.4564279999999532,143,12,17.875,1.8997833416243886,1.5557696324199033,0.7631492369244663,-2.595991909251253,76,67,cost,11,40,False,False,False,False,0.38271082951194196
8,7,0.875,9.38017400000003,1.1725217500000038,0.7637940000000176,-0.4564279999999532,143,12,17.875,1.8997833416243886,1.5557696324199033,0.7631492369244663,-2.595991909251253,76,67,cost,11,45,False,False,False,False,0.38271082951194196
8,7,0.875,9.38017400000003,1.1725217500000038,0.7637940000000176,-0.4564279999999532,143,12,17.875,1.8997833416243886,1.5557696324199033,0.7631492369244663,-2.595991909251253,76,67,cost,11,50,False,False,False,False,0.38271082951194196
8,6,0.75,5.207278000000071,0.6509097500000088,0.6567960000000261,-1.0812060000000456,100,9,12.5,1.8126076958058177,1.5342473924790885,0.3610407847744087,-1.9255842515509647,58,42,cost,12,25,False,False,False,False,0.30997138742351277
8,6,0.75,5.705671999999984,0.713208999999998,0.508431999999992,-1.231636000000047,116,9,14.5,1.7751488416203653,1.4009705564868025,0.5029877970041302,-2.075546220246659,66,50,cost,12,30,False,False,False,False,0.3148954928599501
8,7,0.875,8.87071800000001,1.1088397500000013,1.0392479999999926,-0.48849799999994836,119,10,14.875,1.9648036738410275,1.6765931672207737,0.6876171840028823,-2.39626525613565,67,52,cost,12,35,False,False,False,False,0.37202873727148844
8,7,0.875,8.87071800000001,1.1088397500000013,1.0392479999999926,-0.48849799999994836,119,10,14.875,1.9648036738410275,1.6765931672207737,0.6876171840028823,-2.39626525613565,67,52,cost,12,40,False,False,False,False,0.37202873727148844
8,7,0.875,8.87071800000001,1.1088397500000013,1.0392479999999926,-0.48849799999994836,119,10,14.875,1.9648036738410275,1.6765931672207737,0.6876171840028823,-2.39626525613565,67,52,cost,12,45,False,False,False,False,0.37202873727148844
8,7,0.875,8.87071800000001,1.1088397500000013,1.0392479999999926,-0.48849799999994836,119,10,14.875,1.9648036738410275,1.6765931672207737,0.6876171840028823,-2.39626525613565,67,52,cost,12,50,False,False,False,False,0.37202873727148844
