candidate_name,position_mode,risk_per_trade_pct,period,ending_equity,total_return,total_trades,win_rate,profit_factor,sharpe_ratio,max_drawdown_pct,avg_r,expectancy_r,avg_actual_risk_pct,max_actual_risk_pct,cap_hit_count,cap_hit_rate,total_fees,total_slippage_cost,cost_as_pct_of_gross_profit,long_trades,short_trades,long_pnl,short_pnl
tpe_trial_490,capped_5x,0.005,2025-Q3,100000.0,0.5073200963395363,20,0.6,2.0858108389664003,2.7231948719673436,-0.3312749818825517,1.4820250913931692,1.4820250913931692,0.0003881454810109203,0.0008899635275643619,20,1.0,0.0,0.0,0.0,10,10,-74.84453185768317,582.1646281971962
tpe_trial_490,capped_5x,0.005,2025-Q4,100000.0,0.9218677865789893,26,0.4230769230769231,1.9325765057068522,2.3897261894170496,-0.40296103531322236,0.7501458977772308,0.7501458977772311,0.0006114958684524648,0.002625689855826895,26,1.0,0.0,0.0,0.0,8,18,-279.3009651775731,1201.1687517565522
tpe_trial_490,capped_5x,0.005,2024-2025-Full,100000.0,14.234597058470877,187,0.5133689839572193,3.034556627503303,4.421274171635539,-0.6405234253031344,1.1236578322080646,1.1236578322080648,0.0006827833815015159,0.0029040197966702765,187,1.0,0.0,0.0,0.0,82,105,6372.11385770208,7862.483200768783
tpe_trial_262,capped_3x,0.005,2024-Q1,100000.0,0.5581950500900046,12,0.6666666666666666,5.247313262081777,3.6787826048980983,-0.19870131026486856,1.9541341552277813,1.9541341552277811,0.00027618902478064047,0.0005491178293510936,12,1.0,0.0,0.0,0.0,3,9,115.11169139447863,443.08335869554105
tpe_trial_262,capped_3x,0.005,2024-Q2,100000.0,0.3736496571311365,20,0.45,2.3343691835448896,2.995528394934532,-0.14815638848027238,0.9940405547787556,0.9940405547787556,0.00023489785206679245,0.0003830570484480899,20,1.0,0.0,0.0,0.0,8,12,44.94795808188022,328.701699049233
tpe_trial_262,capped_3x,0.005,2024-Q3,100000.0,0.13915535311876948,16,0.375,1.5603771227136591,1.2103543694514756,-0.2183313080053026,0.6617004623156219,0.661700462315622,0.00022577424690825858,0.0005168579606596073,16,1.0,0.0,0.0,0.0,5,11,-17.43993919491534,156.5952923136648
tpe_trial_262,capped_3x,0.005,2024-Q4,100000.0,0.3276089705241292,14,0.42857142857142855,1.9933180557684667,3.064150925692338,-0.16896787640333152,0.8990862426464342,0.8990862426464341,0.00037191122634284583,0.0010443986467600745,14,1.0,0.0,0.0,0.0,5,9,-45.9041013191008,373.5130718432505
tpe_trial_262,capped_3x,0.005,2025-Q1,100000.0,0.959611961598017,16,0.625,9.453940588849433,6.419671554329542,-0.1459125993014159,1.7695007705260484,1.7695007705260482,0.00026544485595676417,0.0008213077124053378,16,1.0,0.0,0.0,0.0,7,9,754.5216502940261,205.09031130397767
tpe_trial_262,capped_3x,0.005,2025-Q2,100000.0,0.24905333350893066,12,0.5,2.7860246955534045,2.96844166850968,-0.12190078582832292,1.2156006164208266,1.2156006164208264,0.000210353158619128,0.0006714502200000055,12,1.0,0.0,0.0,0.0,7,5,227.8404262691053,21.212907239823025
tpe_trial_262,capped_3x,0.005,2025-Q3,100000.0,0.1515429268800439,11,0.5454545454545454,2.8904261467659236,2.714305047949751,-0.09413218140058995,1.4170188542772695,1.4170188542772693,0.0001342201835776937,0.0002887156000000067,11,1.0,0.0,0.0,0.0,4,7,-13.147145122632296,164.69007200265423
tpe_trial_262,capped_3x,0.005,2025-Q4,100000.0,-0.005244657557323951,15,0.3333333333333333,0.977462056453193,-0.06218131082484172,-0.11215154622669239,0.47706707761389694,0.477067077613897,0.00019930395908854766,0.0005078942621544346,15,1.0,0.0,0.0,0.0,4,11,-34.42718326413359,29.182525706817245
tpe_trial_262,capped_3x,0.005,2024-2025-Full,100000.0,2.7831631317670302,116,0.4827586206896552,2.7655072408045056,3.0346265769188085,-0.2182501254018202,1.1392005951649447,1.139200595164945,0.0002419651788765907,0.0010447768988755739,116,1.0,0.0,0.0,0.0,43,73,1045.3781391509283,1737.7849926161368
tpe_trial_262,capped_5x,0.005,2024-Q1,100000.0,1.556496020315934,12,0.6666666666666666,5.234786341031497,3.68336440811384,-0.5504483927079515,1.9541341552277807,1.9541341552277807,0.0007672625914973359,0.001525298125554469,12,1.0,0.0,0.0,0.0,3,9,322.18132129455245,1234.3146990214032
tpe_trial_262,capped_5x,0.005,2024-Q2,100000.0,1.040329395540307,20,0.45,2.3333386421947644,2.99773582778021,-0.4111292525181609,0.9940405547787556,0.9940405547787556,0.0006525942393129423,0.001064420940626736,20,1.0,0.0,0.0,0.0,8,12,125.4606904369938,914.8687051032922
tpe_trial_262,capped_5x,0.005,2024-Q3,100000.0,0.3862956798136308,16,0.375,1.5598029050519662,1.2123267609563912,-0.6050290792629058,0.661700462315622,0.661700462315622,0.0006272782259869037,0.0014359308283015803,16,1.0,0.0,0.0,0.0,5,11,-48.653343421997114,434.9490232356327
tpe_trial_262,capped_5x,0.005,2024-Q4,100000.0,0.9100983394964235,14,0.42857142857142855,1.989974734045663,3.060955934742365,-0.46911031774534645,0.8990862426464342,0.8990862426464341,0.0010334187977323064,0.0029031305199351477,14,1.0,0.0,0.0,0.0,5,9,-130.48767532719148,1040.5860148236052
tpe_trial_262,capped_5x,0.005,2025-Q1,100000.0,2.6839144454757102,16,0.625,9.456401300879515,6.4224367054964056,-0.40441637872604574,1.7695007705260486,1.7695007705260482,0.00073754274253614,0.002281354815920855,16,1.0,0.0,0.0,0.0,7,9,2109.6289598005,574.285485675207
tpe_trial_262,capped_5x,0.005,2025-Q2,100000.0,0.692146876345201,12,0.5,2.782102701550578,2.967012547157651,-0.3383646779958896,1.2156006164208264,1.2156006164208264,0.0005844942765443968,0.0018655862400000155,12,1.0,0.0,0.0,0.0,7,5,632.6958064993805,59.45106984579622
tpe_trial_262,capped_5x,0.005,2025-Q3,100000.0,0.42131590553056153,11,0.5454545454545454,2.88894633265596,2.7135512515381204,-0.26148375237800425,1.4170188542772695,1.4170188542772693,0.000373134304394883,0.0008026596000000186,11,1.0,0.0,0.0,0.0,4,7,-36.472356850359205,457.78826238093336
tpe_trial_262,capped_5x,0.005,2025-Q4,100000.0,-0.015354235375053538,15,0.3333333333333333,0.9762661803325287,-0.0627479358900255,-0.3114128339591873,0.47706707761389694,0.4770670776138968,0.0005538053917752445,0.0014113380039187905,15,1.0,0.0,0.0,0.0,4,11,-95.98646054573562,80.63222517069352
tpe_trial_262,capped_5x,0.005,2024-2025-Full,100000.0,7.911574074548344,116,0.4827586206896552,2.7590865878205357,3.03561842239245,-0.6050563067226554,1.139200595164945,1.139200595164945,0.0006723340086650506,0.002903446216451302,116,1.0,0.0,0.0,0.0,43,73,2990.263716452225,4921.31035809611
