candidate_name,source_trial,cost_mode,ema_period,lookback_bars,min_close_ratio,k_period,smooth,d_period,oversold,overbought,left_bars,right_bars,min_separation,max_separation,rr_target,stop_buffer,setup_max_bars,positive_periods,positive_ratio,full_total_return,full_total_trades,full_win_rate,full_profit_factor,full_max_drawdown,avg_quarter_return,min_quarter_return,total_trades_sum,min_trades_per_period,avg_trades_per_period,avg_profit_factor,min_profit_factor,max_quarter_drawdown_worst,long_trades_total,short_trades_total,validation_score,risk_flag
tpe_trial_199,199,no-cost,88,24,0.6197021164080276,20,3,5,16,75,6,5,15,30,3.275916253980206,0.0,12,8,1.0,37.686713312873785,147,0.5034013605442177,3.2685019305842684,-1.6178335532525678,4.710839164109204,0.06279244167812781,147,13,18.375,2.9721261098700342,1.0264049021799775,-1.7633480675039135,59,88,0.5871709361664573,
tpe_trial_199,199,cost,88,24,0.6197021164080276,20,3,5,16,75,6,5,15,30,3.275916253980206,0.0,12,7,0.875,34.74671331287374,147,0.5034013605442177,2.92257159353787,-1.7959476430682242,4.343339164109206,-0.25720755832188136,147,13,18.375,2.700362214205552,0.9002321286851801,-1.8049666758747067,59,88,0.5323027374015875,QUARTER_UNSTABLE
tpe_trial_302,302,no-cost,73,24,0.5600526430552384,17,3,5,16,82,6,5,15,31,3.2573822869071165,0.0,12,7,0.875,36.582316500817136,178,0.5056179775280899,2.8247846985588354,-1.7469803095464513,4.549078312602148,-0.7333210057388184,179,18,22.375,2.835638024366936,0.7954137485000807,-1.825185610579072,75,103,0.5659448724835191,QUARTER_UNSTABLE
tpe_trial_302,302,cost,73,24,0.5600526430552384,17,3,5,16,82,6,5,15,31,3.2573822869071165,0.0,12,7,0.875,33.022316500817126,178,0.5056179775280899,2.5142662812704675,-1.9223809088381634,4.101578312602147,-1.1533210057388166,179,18,22.375,2.637026822546522,0.7015531463434708,-2.020584119053293,75,103,0.5378578957638629,QUARTER_UNSTABLE
tpe_trial_267,267,no-cost,83,24,0.6484774259511714,17,3,5,16,81,6,5,15,31,3.295063068520097,0.0,12,7,0.875,32.6860206107247,146,0.5,2.9624831653036323,-1.6512283905079386,4.08575257634058,-0.6053130695319653,146,13,18.25,3.0003922136603363,0.81242409598548,-1.7434411400110799,59,87,0.5363719461125981,QUARTER_UNSTABLE
tpe_trial_267,267,cost,83,24,0.6484774259511714,17,3,5,16,81,6,5,15,31,3.295063068520097,0.0,12,7,0.875,29.76602061072464,146,0.5,2.643129872127021,-1.7891240277769191,3.720752576340579,-0.9853130695319678,146,13,18.25,2.8007526921166876,0.7174348745115531,-1.7863546551730738,59,87,0.5114258336006485,QUARTER_UNSTABLE
tpe_trial_400,400,no-cost,84,24,0.5759634175620162,21,3,5,15,76,6,5,15,32,3.0822306830064248,0.0,12,8,1.0,35.38632424848369,158,0.5316455696202531,2.9645033741717732,-1.5961210958758738,4.423290531060461,0.11948933671885875,158,14,19.75,2.9033178325201576,1.0434895712960919,-1.7667820777028098,59,99,0.5807702800211513,
tpe_trial_400,400,cost,84,24,0.5759634175620162,21,3,5,15,76,6,5,15,32,3.0822306830064248,0.0,12,7,0.875,32.22632424848371,158,0.5316455696202531,2.6532373519577814,-1.6444393460255544,4.028290531060459,-0.2605106632811327,158,14,19.75,2.7219023445911903,0.9122132597096793,-1.8053654274764928,59,99,0.529405536412378,QUARTER_UNSTABLE
tpe_trial_292,292,no-cost,83,24,0.6128870443666429,21,3,5,16,78,6,5,15,30,3.12473553840869,0.0,12,8,1.0,33.135344886688166,138,0.5144927536231884,3.125423020313548,-1.5868743864344774,4.141918110836029,0.16597920231291585,138,13,17.25,3.0506183845857358,1.0767629726314625,-1.7633001740305763,59,79,0.5760424805894733,
tpe_trial_292,292,cost,83,24,0.6128870443666429,21,3,5,16,78,6,5,15,30,3.12473553840869,0.0,12,7,0.875,30.375344886688204,138,0.5144927536231884,2.794172763537402,-1.6397766644762062,3.7969181108360255,-0.1340207976870733,138,13,17.25,2.8492708730112977,0.9427806843533412,-1.8057127584966046,59,79,0.5250537505572962,QUARTER_UNSTABLE
tpe_trial_477,477,no-cost,64,24,0.5063535569369809,21,3,5,18,77,6,5,15,31,3.1831289577647306,0.0,12,8,1.0,41.84960303098357,185,0.5081081081081081,3.0175445132384833,-2.0173377133169197,5.231200378872966,1.2624755633520612,185,17,23.125,3.049331279785058,1.6733633957117477,-2.310237661669294,86,99,0.6428499115093763,
tpe_trial_477,477,cost,64,24,0.5063535569369809,21,3,5,18,77,6,5,15,31,3.1831289577647306,0.0,12,8,1.0,38.149603030983556,185,0.5081081081081081,2.6908156522398654,-2.1148001448350686,4.768700378872962,0.9224755633520543,185,17,23.125,2.8441229840567845,1.4533316772252152,-2.39321595837582,86,99,0.6164343478661575,
tpe_trial_490,490,no-cost,82,24,0.5124336224529857,21,3,5,17,75,6,5,15,31,3.136708485655296,0.0,12,8,1.0,43.4580476733176,187,0.5133689839572193,3.000291250763734,-1.8436503179308141,5.43225595916472,2.186135705462955,187,17,23.375,3.0685300666797675,1.98833505830365,-2.098111236231051,82,105,0.6574693494849791,
tpe_trial_490,490,cost,82,24,0.5124336224529857,21,3,5,17,75,6,5,15,31,3.136708485655296,0.0,12,8,1.0,39.71804767331761,187,0.5133689839572193,2.6868378421224697,-1.9195261800521137,4.964755959164719,1.7861357054629545,187,17,23.375,2.867299849841057,1.7625986608414217,-2.1618310415426323,82,105,0.637002462492938,
tpe_trial_394,394,no-cost,83,24,0.618960509011099,20,3,5,14,77,6,5,15,32,3.2607595824423568,0.0,12,8,1.0,30.639175325124903,140,0.5071428571428571,2.894165906267482,-1.6416328919691345,3.8298969156406093,0.5054093572819607,140,12,17.5,2.7343072615373507,1.262666297992347,-1.7587271038681134,51,89,0.5533252869464391,
tpe_trial_394,394,cost,83,24,0.618960509011099,20,3,5,14,77,6,5,15,32,3.2607595824423568,0.0,12,8,1.0,27.8391753251249,140,0.5071428571428571,2.5857763114869634,-1.6976354597547114,3.4798969156406123,0.2254093572819693,140,12,17.5,2.4938757328112566,1.108154095090071,-1.8010195546116714,51,89,0.5244117601403256,
tpe_trial_444,444,no-cost,84,24,0.5308664531689445,21,3,5,15,78,6,5,15,32,3.109240050478859,0.0,12,8,1.0,41.76927875524474,169,0.5384615384615384,3.279303152840082,-1.7960039527958307,5.221159844405591,1.57621066548701,169,16,21.125,3.2517300846778743,1.8124545970160924,-1.9541348044919078,66,103,0.6553140140920778,
tpe_trial_444,444,cost,84,24,0.5308664531689445,21,3,5,15,78,6,5,15,32,3.109240050478859,0.0,12,8,1.0,38.38927875524474,169,0.5384615384615384,2.9305200259508606,-1.95726726364283,4.79865984440559,1.1762106654870097,169,16,21.125,2.9933035590442914,1.5395313273428444,-2.113617355137781,66,103,0.6246381396024071,
tpe_trial_329,329,no-cost,61,24,0.5750618100137479,21,3,5,22,81,6,5,15,33,3.203718830330509,0.0,12,7,0.875,35.370727415643884,179,0.48044692737430167,2.5899349976578057,-1.8447326011640663,4.434893426955496,-1.2890068316866565,178,16,22.25,2.869113646076681,0.657561545165863,-2.362560367356292,98,81,0.545992145082352,QUARTER_UNSTABLE
tpe_trial_329,329,cost,61,24,0.5750618100137479,21,3,5,22,81,6,5,15,33,3.203718830330509,0.0,12,7,0.875,31.79072741564395,179,0.48044692737430167,2.318753431756134,-2.1963918013756194,3.9898934269554944,-1.7090068316866547,178,16,22.25,2.63131670994514,0.5794973594590177,-2.5998608990417416,98,81,0.516443228189074,QUARTER_UNSTABLE
